age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,montant_augmentation_precedente,inertie_poste,revenu_par_niveau,satisfaction_globale,satisfaction_min,satisfaction_max,performance,hs_et_salaire_bas,jeune_faible_anciennete,serial-worker,poste_x_niveau,formations_par_an,part_sans_promotion
35,M,2426,Marié(e),Consulting,Consultant,0,6,5,4,1,5,16,3,Transformation Digitale,Occasionnel,0,3,1,4,1,2,3,3,3,Non,13.0,279,0.8,2425.98,2.25,1,3,-1,0,0,0,Consultant | N1,0.833,0.0
29,F,4193,Célibataire,Consulting,Consultant,0,10,9,5,0,3,15,2,Infra & Cloud,Occasionnel,0,8,4,2,2,3,4,3,3,Oui,12.0,449,0.556,2096.49,3.5,3,4,1,1,0,0,Consultant | N2,0.3,0.0
31,M,2911,Divorcé(e),Consulting,Assistant de Direction,1,5,5,2,1,1,26,1,Infra & Cloud,Occasionnel,4,3,1,3,1,3,4,2,3,Non,17.0,423,0.4,2910.97,2.5,1,4,0,0,0,0,Assistant de Direction | N1,0.167,0.8
34,M,2661,Divorcé(e),Consulting,Consultant,0,3,2,2,1,2,19,2,Transformation Digitale,Occasionnel,1,2,2,3,1,4,3,3,3,Non,11.0,264,1.0,2660.97,3.0,2,4,0,0,0,0,Consultant | N1,0.667,0.5
28,M,2028,Célibataire,Consulting,Consultant,5,6,4,2,0,4,24,3,Infra & Cloud,Occasionnel,0,3,3,2,1,3,2,3,3,Oui,14.000000000000002,249,0.5,2027.98,2.75,2,3,1,1,0,1,Consultant | N1,0.8,0.0
29,F,9980,Divorcé(e),Consulting,Tech Lead,1,10,10,9,1,1,21,4,Infra & Cloud,Occasionnel,8,8,2,4,3,1,3,3,3,Non,11.0,989,0.9,3326.66,2.25,1,3,-1,0,0,0,Tech Lead | N3,0.091,0.8
32,M,3298,Divorcé(e),Consulting,Assistant de Direction,0,7,6,2,2,5,5,2,Infra & Cloud,Occasionnel,0,5,1,4,1,2,4,2,3,Oui,12.0,353,0.333,3297.97,2.25,1,4,-1,1,0,0,Assistant de Direction | N1,0.714,0.0
22,M,2935,Divorcé(e),Consulting,Consultant,1,1,1,0,2,2,16,2,Transformation Digitale,Aucun,0,0,4,4,1,4,2,2,3,Oui,13.0,338,0.0,2934.97,3.0,2,4,-1,1,1,0,Consultant | N1,1.0,0.0
53,F,15427,Marié(e),Commercial,Senior Manager,2,31,25,8,0,3,2,4,Infra & Cloud,Occasionnel,3,7,1,2,4,4,3,3,3,Non,16.0,2128,0.32,3856.74,2.75,1,4,1,0,0,0,Senior Manager | N4,0.115,0.12
38,M,3944,Célibataire,Consulting,Assistant de Direction,5,6,3,2,0,3,2,3,Infra & Cloud,Occasionnel,1,2,4,3,1,4,3,3,3,Oui,11.0,391,0.667,3943.96,3.5,3,4,0,1,0,1,Assistant de Direction | N1,0.75,0.333
24,F,4011,Divorcé(e),Consulting,Tech Lead,0,5,4,2,1,5,11,2,Autre,Aucun,1,3,1,4,2,3,4,2,3,Non,18.0,612,0.5,2005.49,2.5,1,4,-1,0,0,0,Tech Lead | N2,1.0,0.25
36,M,3407,Célibataire,Commercial,Représentant Commercial,7,10,5,3,0,4,9,4,Infra & Cloud,Occasionnel,0,3,3,2,1,1,2,3,4,Non,23.0,637,0.6,3406.97,2.25,1,3,2,0,0,1,Représentant Commercial | N1,0.667,0.0
34,F,11994,Célibataire,Consulting,Directeur Technique,0,13,12,6,0,4,7,4,Infra & Cloud,Occasionnel,2,11,1,3,3,2,3,3,3,Non,11.0,1189,0.5,3997.99,2.25,1,3,0,0,0,0,Directeur Technique | N3,0.308,0.167
21,M,1232,Célibataire,Consulting,Assistant de Direction,1,0,0,0,0,6,15,2,Infra & Cloud,Occasionnel,0,0,3,3,1,4,4,3,3,Non,14.000000000000002,151,0.0,1231.99,3.5,3,4,0,0,1,0,Assistant de Direction | N1,6.0,0.0
34,M,2960,Célibataire,Consulting,Assistant de Direction,2,8,4,2,0,2,6,1,Transformation Digitale,Occasionnel,1,3,2,3,1,1,3,3,3,Non,11.0,293,0.5,2959.97,2.25,1,3,0,0,0,0,Assistant de Direction | N1,0.4,0.25
53,F,19094,Divorcé(e),Consulting,Senior Manager,4,26,14,13,1,3,5,3,Autre,Occasionnel,4,8,3,3,5,3,4,2,3,Non,11.0,1892,0.929,3818.79,3.0,2,4,0,0,0,0,Senior Manager | N5,0.2,0.286
32,F,3919,Célibataire,Consulting,Assistant de Direction,1,10,10,2,0,5,16,1,Infra & Cloud,Frequent,6,7,2,1,1,1,2,3,4,Oui,22.0,707,0.2,3918.96,2.0,1,3,3,1,0,0,Assistant de Direction | N1,0.455,0.6
42,M,6825,Marié(e),Commercial,Cadre Commercial,0,10,9,7,1,2,8,4,Marketing,Occasionnel,4,2,3,3,2,2,4,3,3,Non,11.0,676,0.778,3412.48,3.0,2,4,0,0,0,0,Cadre Commercial | N2,0.2,0.444
44,F,10248,Marié(e),Consulting,Manager,3,24,22,6,1,4,7,4,Transformation Digitale,Occasionnel,5,17,1,2,3,4,4,3,3,Non,14.000000000000002,1259,0.273,3415.99,3.0,1,4,1,0,0,0,Manager | N3,0.174,0.227
46,F,18947,Célibataire,Commercial,Senior Manager,3,22,2,2,0,2,2,4,Marketing,Occasionnel,2,1,2,3,5,1,4,2,3,Non,12.0,2030,1.0,3789.39,2.25,1,4,0,0,0,0,Senior Manager | N5,0.667,1.0
33,M,2496,Célibataire,Consulting,Consultant,4,7,1,1,0,3,2,3,Transformation Digitale,Occasionnel,0,0,3,3,1,4,4,3,3,Non,11.0,247,1.0,2495.98,3.5,3,4,0,0,0,0,Consultant | N1,1.5,0.0
44,M,6465,Marié(e),Consulting,Manager,2,9,4,2,0,5,10,4,Autre,Occasionnel,1,3,4,3,2,4,4,4,3,Oui,13.0,744,0.5,3232.48,4.0,4,4,0,0,0,0,Manager | N2,1.0,0.25
30,M,2206,Célibataire,Consulting,Consultant,1,10,10,0,0,5,9,2,Transformation Digitale,Occasionnel,1,8,4,2,1,3,1,3,3,Non,13.0,254,0.0,2205.98,2.75,1,4,1,0,0,0,Consultant | N1,0.455,0.1
39,M,2086,Marié(e),Commercial,Représentant Commercial,3,19,1,0,1,6,5,3,Entrepreunariat,Occasionnel,0,0,4,3,2,4,3,4,3,Non,14.000000000000002,256,0.0,1042.99,3.75,3,4,0,0,0,0,Représentant Commercial | N2,3.0,0.0
24,M,2293,Marié(e),Consulting,Assistant de Direction,2,6,2,0,1,2,1,3,Transformation Digitale,Occasionnel,2,0,2,3,1,4,1,2,3,Oui,16.0,316,0.0,2292.98,2.25,1,4,0,1,1,0,Assistant de Direction | N1,0.667,1.0
43,F,2645,Divorcé(e),Consulting,Assistant de Direction,1,6,5,3,2,3,2,2,Transformation Digitale,Occasionnel,1,4,4,4,1,3,4,2,3,Non,12.0,283,0.6,2644.97,3.25,2,4,-1,0,0,0,Assistant de Direction | N1,0.5,0.2
50,M,2683,Marié(e),Commercial,Représentant Commercial,1,3,3,2,0,2,3,2,Marketing,Occasionnel,0,2,1,2,1,3,3,3,3,Oui,14.000000000000002,329,0.667,2682.97,2.5,1,3,1,1,0,0,Représentant Commercial | N1,0.5,0.0
35,F,2014,Marié(e),Commercial,Représentant Commercial,1,2,2,2,0,3,2,3,Marketing,Occasionnel,2,2,4,3,1,4,1,3,3,Non,13.0,232,1.0,2013.98,3.0,1,4,0,0,0,0,Représentant Commercial | N1,1.0,1.0
36,F,3419,Marié(e),Consulting,Assistant de Direction,9,6,1,1,1,3,5,4,Infra & Cloud,Occasionnel,0,0,2,2,1,1,4,4,3,Oui,14.000000000000002,420,1.0,3418.97,2.75,1,4,1,1,0,1,Assistant de Direction | N1,1.5,0.0
33,F,5376,Marié(e),Commercial,Cadre Commercial,2,10,5,3,2,3,1,3,Infra & Cloud,Frequent,1,3,3,4,2,1,1,3,3,Non,19.0,858,0.6,2687.99,2.0,1,3,-1,0,0,0,Cadre Commercial | N2,0.5,0.2
35,M,1951,Divorcé(e),Consulting,Consultant,1,1,1,0,1,3,4,2,Autre,Occasionnel,0,0,3,3,1,4,3,3,3,Non,12.0,209,0.0,1950.98,3.25,3,4,0,0,0,0,Consultant | N1,1.5,0.0
27,F,2341,Divorcé(e),Consulting,Consultant,1,1,1,0,1,6,2,4,Infra & Cloud,Occasionnel,0,0,4,3,1,1,4,3,3,Non,13.0,269,0.0,2340.98,3.0,1,4,0,0,1,0,Consultant | N1,3.0,0.0
26,M,2293,Célibataire,Consulting,Consultant,1,1,1,0,0,2,25,3,Infra & Cloud,Occasionnel,0,1,1,1,1,3,3,2,3,Non,12.0,246,0.0,2292.98,2.25,1,3,2,0,1,0,Consultant | N1,1.0,0.0
27,M,8726,Célibataire,Commercial,Cadre Commercial,1,9,9,8,0,0,8,3,Infra & Cloud,Frequent,1,7,4,3,3,3,4,3,3,Non,15.0,1138,0.889,2908.66,3.5,3,4,0,0,0,0,Cadre Commercial | N3,0.0,0.111
30,F,4011,Célibataire,Consulting,Consultant,1,12,12,8,0,2,1,2,Transformation Digitale,Frequent,3,7,3,3,2,4,4,3,4,Non,23.0,750,0.667,2005.49,3.5,3,4,1,0,0,0,Consultant | N2,0.154,0.25
41,F,19545,Marié(e),Consulting,Directeur Technique,1,23,22,15,0,0,12,3,Entrepreunariat,Occasionnel,15,8,2,3,5,3,4,3,3,Non,12.0,2094,0.682,3908.99,3.0,2,4,0,0,0,0,Directeur Technique | N5,0.0,0.682
34,M,4568,Célibataire,Commercial,Cadre Commercial,0,10,9,5,0,2,23,4,Marketing,Aucun,8,7,2,3,2,3,3,3,4,Non,20.0,761,0.556,2283.99,2.75,2,3,1,0,0,0,Cadre Commercial | N2,0.2,0.889
37,M,3022,Marié(e),Consulting,Assistant de Direction,4,8,1,0,0,1,19,2,Infra & Cloud,Occasionnel,0,0,2,3,1,2,1,3,4,Non,21.0,524,0.0,3021.97,2.0,1,3,1,0,0,0,Assistant de Direction | N1,0.5,0.0
46,M,5772,Célibataire,Commercial,Cadre Commercial,4,14,9,6,0,4,5,4,Marketing,Frequent,0,8,1,3,2,4,3,3,4,Oui,21.0,1002,0.667,2885.99,2.75,1,4,1,0,0,0,Cadre Commercial | N2,0.4,0.0
35,M,2269,Marié(e),Consulting,Consultant,1,1,1,0,0,2,8,1,Infra & Cloud,Occasionnel,0,1,4,4,1,4,4,3,3,Non,19.0,362,0.0,2268.98,3.75,3,4,-1,0,0,0,Consultant | N1,1.0,0.0
48,M,5381,Célibataire,Consulting,Consultant,9,23,1,0,0,2,1,2,Infra & Cloud,Occasionnel,0,0,1,2,3,3,4,3,3,Oui,13.0,619,0.0,1793.66,2.75,1,4,1,0,0,1,Consultant | N3,1.0,0.0
28,M,3441,Célibataire,Consulting,Consultant,1,2,2,2,0,3,5,4,Entrepreunariat,Occasionnel,2,2,3,3,1,3,3,2,3,Oui,13.0,396,1.0,3440.97,2.75,2,3,0,1,1,0,Consultant | N1,1.0,1.0
44,F,5454,Divorcé(e),Commercial,Cadre Commercial,5,9,4,3,1,2,1,5,Marketing,Occasionnel,1,3,2,3,2,1,3,2,4,Oui,21.0,947,0.75,2726.99,2.0,1,3,1,0,0,1,Cadre Commercial | N2,0.4,0.25
35,M,9884,Marié(e),Consulting,Manager,2,10,4,0,1,3,11,2,Transformation Digitale,Aucun,2,3,3,2,3,1,3,3,3,Oui,13.0,1137,0.0,3294.66,2.5,1,3,1,0,0,0,Manager | N3,0.6,0.5
26,F,4157,Marié(e),Commercial,Cadre Commercial,7,5,2,2,1,2,23,3,Marketing,Occasionnel,0,0,3,2,2,4,3,2,3,Oui,19.0,664,1.0,2078.49,3.0,2,4,1,1,1,1,Cadre Commercial | N2,0.667,0.0
33,F,13458,Célibataire,Consulting,Directeur Technique,1,15,15,14,0,1,1,2,Infra & Cloud,Frequent,8,12,1,3,3,4,3,3,3,Oui,12.0,1442,0.933,4485.99,2.75,1,4,0,0,0,0,Directeur Technique | N3,0.062,0.533
35,M,9069,Marié(e),Commercial,Cadre Commercial,1,9,9,8,1,3,18,5,Infra & Cloud,Frequent,1,8,2,3,3,1,4,2,4,Non,22.0,1635,0.889,3022.99,2.25,1,4,1,0,0,0,Cadre Commercial | N3,0.3,0.111
35,F,4014,Marié(e),Consulting,Consultant,3,4,2,2,1,3,23,4,Transformation Digitale,Occasionnel,2,2,3,3,1,1,3,3,3,Oui,15.0,524,1.0,4013.96,2.5,1,3,0,1,0,0,Consultant | N1,1.0,1.0
31,M,5915,Divorcé(e),Consulting,Consultant,3,10,7,7,1,3,7,4,Infra & Cloud,Occasionnel,1,7,4,3,2,4,4,2,4,Non,22.0,1067,1.0,2957.49,3.5,2,4,1,0,0,0,Consultant | N2,0.375,0.143
37,M,5993,Divorcé(e),Consulting,Tech Lead,1,7,7,5,1,2,1,4,Infra & Cloud,Occasionnel,0,7,1,2,2,3,3,4,3,Non,18.0,914,0.714,2996.49,2.75,1,4,1,0,0,0,Tech Lead | N2,0.25,0.0
32,M,6162,Marié(e),Consulting,Tech Lead,1,9,9,8,1,3,1,3,Transformation Digitale,Occasionnel,7,8,1,3,2,4,2,3,4,Oui,22.0,1111,0.889,3080.98,2.5,1,4,1,0,0,0,Tech Lead | N2,0.3,0.778
38,F,2406,Célibataire,Consulting,Consultant,1,10,10,3,0,2,29,5,Infra & Cloud,Frequent,9,9,4,3,2,4,4,3,3,Non,11.0,238,0.3,1202.99,3.75,3,4,0,0,0,0,Consultant | N2,0.182,0.9
50,F,18740,Divorcé(e),Consulting,Directeur Technique,5,29,27,3,1,2,7,2,Transformation Digitale,Occasionnel,13,8,2,2,5,3,4,2,3,Oui,12.0,2008,0.111,3747.99,2.75,2,4,1,0,0,1,Directeur Technique | N5,0.071,0.481
59,F,7637,Célibataire,Commercial,Cadre Commercial,7,28,21,16,0,3,25,3,Infra & Cloud,Occasionnel,7,9,1,3,3,1,4,2,3,Non,11.0,757,0.762,2545.66,2.0,1,4,0,0,0,1,Cadre Commercial | N3,0.136,0.333
36,F,10096,Divorcé(e),Consulting,Manager,1,17,17,14,3,2,8,3,Entrepreunariat,Occasionnel,12,8,3,3,3,3,2,3,3,Non,13.0,1161,0.824,3365.32,2.75,2,3,0,0,0,0,Manager | N3,0.111,0.706
55,F,14756,Divorcé(e),Consulting,Senior Manager,2,21,5,0,3,2,8,3,Transformation Digitale,Occasionnel,0,2,4,3,4,3,3,3,3,Oui,14.000000000000002,1812,0.0,3688.99,3.25,3,4,0,0,0,0,Senior Manager | N4,0.333,0.0
36,M,6499,Célibataire,Consulting,Tech Lead,1,6,6,5,0,3,11,3,Infra & Cloud,Frequent,0,3,2,2,2,2,3,3,3,Non,13.0,748,0.833,3249.48,2.5,2,3,1,0,0,0,Tech Lead | N2,0.429,0.0
45,M,9724,Divorcé(e),Consulting,Assistant de Direction,2,25,1,0,1,2,7,3,Infra & Cloud,Occasionnel,0,0,2,3,3,1,3,3,3,Non,17.0,1413,0.0,3241.32,2.25,1,3,0,0,0,0,Assistant de Direction | N3,1.0,0.0
35,M,2194,Marié(e),Consulting,Assistant de Direction,4,5,3,2,1,2,1,3,Transformation Digitale,Frequent,1,2,2,3,1,1,4,2,3,Non,13.0,252,0.667,2193.98,2.25,1,4,0,0,0,0,Assistant de Direction | N1,0.5,0.333
36,M,3388,Marié(e),Consulting,Assistant de Direction,0,2,1,0,1,0,9,3,Transformation Digitale,Occasionnel,0,0,4,2,1,3,1,2,3,Oui,17.0,492,0.0,3387.97,2.5,1,4,1,1,0,0,Assistant de Direction | N1,0.0,0.0
59,F,5473,Célibataire,Commercial,Cadre Commercial,7,20,4,3,0,2,1,1,Infra & Cloud,Frequent,1,3,1,2,2,3,4,2,3,Non,11.0,542,0.75,2736.49,2.5,1,4,1,0,0,1,Cadre Commercial | N2,0.4,0.25
29,M,2703,Marié(e),Consulting,Assistant de Direction,0,6,5,4,1,3,2,3,Infra & Cloud,Occasionnel,0,4,3,3,1,2,4,3,4,Non,23.0,505,0.8,2702.97,3.0,2,4,1,0,0,0,Assistant de Direction | N1,0.5,0.0
31,M,2501,Célibataire,Consulting,Assistant de Direction,1,1,1,1,0,4,1,4,Transformation Digitale,Occasionnel,1,0,3,3,1,2,2,3,3,Non,17.0,363,1.0,2500.97,2.5,2,3,0,0,0,0,Assistant de Direction | N1,2.0,1.0
32,M,6220,Marié(e),Consulting,Assistant de Direction,1,10,10,4,2,3,1,3,Infra & Cloud,Occasionnel,0,9,2,3,2,2,2,3,3,Non,17.0,904,0.4,3109.98,2.25,2,3,0,0,0,0,Assistant de Direction | N2,0.273,0.0
36,F,3038,Marié(e),Consulting,Consultant,3,5,1,0,0,3,6,3,Infra & Cloud,Occasionnel,0,0,2,4,1,4,2,3,3,Non,12.0,326,0.0,3037.97,2.75,2,4,-1,0,0,0,Consultant | N1,1.5,0.0
31,F,4424,Célibataire,Consulting,Tech Lead,1,11,11,7,0,2,8,4,Infra & Cloud,Occasionnel,1,8,3,3,2,4,4,3,4,Non,23.0,827,0.636,2211.99,3.5,3,4,1,0,0,0,Tech Lead | N2,0.167,0.091
35,M,4312,Célibataire,Commercial,Cadre Commercial,0,16,15,13,0,2,1,4,Marketing,Occasionnel,2,8,3,2,2,1,2,3,3,Non,14.000000000000002,530,0.867,2155.99,2.25,1,3,1,0,0,0,Cadre Commercial | N2,0.125,0.133
45,M,13245,Marié(e),Consulting,Directeur Technique,4,17,0,0,0,3,6,4,Autre,Occasionnel,0,0,4,3,3,1,2,4,3,Oui,14.000000000000002,1627,0.0,4414.99,2.75,1,4,0,0,0,0,Directeur Technique | N3,3.0,0.0
37,M,13664,Célibataire,Consulting,Directeur Technique,4,16,5,2,0,3,7,4,Transformation Digitale,Occasionnel,0,2,1,3,3,3,1,4,3,Non,13.0,1572,0.4,4554.65,2.25,1,4,0,0,0,0,Directeur Technique | N3,0.5,0.0
46,M,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,8,16,4,2,1,2,5,2,Transformation Digitale,Occasionnel,0,2,2,3,2,2,4,3,4,Oui,22.0,905,0.5,2510.49,2.75,2,4,1,0,0,1,Ressources Humaines | N2,0.4,0.0
30,M,5126,Marié(e),Consulting,Consultant,1,10,10,8,2,1,1,1,Infra & Cloud,Occasionnel,3,0,4,2,2,4,3,2,3,Oui,12.0,549,0.8,2562.99,3.25,2,4,1,0,0,0,Consultant | N2,0.091,0.3
35,M,2859,Célibataire,Consulting,Assistant de Direction,1,6,6,4,0,3,1,3,Transformation Digitale,Occasionnel,0,4,2,2,1,3,1,3,3,Non,18.0,436,0.667,2858.97,2.25,1,3,1,0,0,0,Assistant de Direction | N1,0.429,0.0
55,M,10239,Marié(e),Commercial,Cadre Commercial,3,24,1,0,1,4,1,2,Infra & Cloud,Occasionnel,1,0,1,3,3,4,4,3,3,Non,14.000000000000002,1257,0.0,3412.99,3.0,1,4,0,0,0,0,Cadre Commercial | N3,2.0,1.0
38,F,5329,Divorcé(e),Consulting,Assistant de Direction,7,17,13,11,3,3,6,3,Transformation Digitale,Aucun,1,9,2,1,2,4,4,3,3,Oui,12.0,571,0.846,2664.49,3.25,2,4,2,0,0,1,Assistant de Direction | N2,0.214,0.077
34,M,4325,Marié(e),Consulting,Tech Lead,1,5,5,2,0,2,1,2,Transformation Digitale,Occasionnel,1,3,1,3,2,2,3,3,3,Non,15.0,564,0.4,2162.49,2.25,1,3,0,0,0,0,Tech Lead | N2,0.333,0.2
56,M,7260,Célibataire,Consulting,Tech Lead,4,37,6,4,0,3,7,3,Infra & Cloud,Occasionnel,0,2,4,1,3,4,1,2,3,Non,11.0,719,0.667,2419.99,2.75,1,4,2,0,0,0,Tech Lead | N3,0.429,0.0
23,M,2322,Divorcé(e),Commercial,Représentant Commercial,3,3,0,0,1,3,2,1,Entrepreunariat,Occasionnel,0,0,3,3,1,1,3,3,3,Non,13.0,267,0.0,2321.98,2.5,1,3,0,0,1,0,Représentant Commercial | N1,3.0,0.0
51,M,2075,Marié(e),Consulting,Consultant,3,10,4,2,2,4,9,4,Infra & Cloud,Occasionnel,0,3,4,3,1,4,2,3,4,Non,23.0,388,0.5,2074.98,3.25,2,4,1,0,0,0,Consultant | N1,0.8,0.0
30,M,4152,Marié(e),Consulting,Manager,1,11,11,10,3,3,2,3,Infra & Cloud,Occasionnel,10,8,3,2,2,4,1,3,3,Non,19.0,663,0.909,2075.99,2.75,1,4,1,0,0,0,Manager | N2,0.25,0.909
46,M,9619,Célibataire,Commercial,Cadre Commercial,1,9,9,8,0,3,9,2,Transformation Digitale,Occasionnel,4,7,3,2,3,4,4,3,3,Non,16.0,1327,0.889,3206.32,3.5,3,4,1,0,0,0,Cadre Commercial | N3,0.3,0.444
40,M,13503,Marié(e),Consulting,Manager,1,22,22,3,1,3,1,4,Infra & Cloud,Frequent,11,11,3,2,4,2,4,2,4,Non,22.0,2435,0.136,3375.74,2.75,2,4,2,0,0,0,Manager | N4,0.13,0.5
51,M,5441,Célibataire,Commercial,Cadre Commercial,0,11,10,7,0,2,21,4,Marketing,Occasionnel,1,0,3,3,2,4,4,1,4,Oui,22.0,981,0.7,2720.49,3.0,1,4,1,0,0,0,Cadre Commercial | N2,0.182,0.1
30,F,5209,Divorcé(e),Commercial,Cadre Commercial,1,11,11,8,3,4,4,2,Transformation Digitale,Occasionnel,2,7,3,2,2,2,2,2,3,Oui,12.0,558,0.727,2604.49,2.25,2,3,1,0,0,0,Cadre Commercial | N2,0.333,0.182
46,M,10673,Marié(e),Consulting,Manager,2,21,10,9,1,5,1,3,Transformation Digitale,Frequent,9,5,3,2,3,1,3,2,3,Oui,13.0,1228,0.9,3557.65,2.25,1,3,1,0,0,0,Manager | N3,0.455,0.9
32,M,5010,Célibataire,Commercial,Cadre Commercial,1,12,11,8,0,0,6,4,Transformation Digitale,Occasionnel,5,7,2,3,2,3,1,3,3,Non,16.0,691,0.727,2504.99,2.25,1,3,0,0,0,0,Cadre Commercial | N2,0.0,0.455
54,F,13549,Marié(e),Consulting,Directeur Technique,9,16,4,3,1,5,2,4,Entrepreunariat,Occasionnel,0,3,1,3,3,3,1,1,3,Non,12.0,1452,0.75,4516.32,1.5,1,3,0,0,0,1,Directeur Technique | N3,1.0,0.0
24,F,4999,Marié(e),Commercial,Cadre Commercial,0,4,3,2,1,2,3,2,Autre,Occasionnel,0,2,1,3,2,3,1,2,4,Non,21.0,868,0.667,2499.49,1.75,1,3,1,0,0,0,Cadre Commercial | N2,0.5,0.0
28,M,4221,Marié(e),Commercial,Cadre Commercial,1,5,5,4,0,3,4,3,Transformation Digitale,Aucun,0,4,2,3,2,3,2,4,3,Non,15.0,551,0.8,2110.49,2.75,2,4,0,0,0,0,Cadre Commercial | N2,0.5,0.0
58,M,13872,Célibataire,Commercial,Cadre Commercial,0,38,37,10,0,1,10,4,Transformation Digitale,Occasionnel,1,8,4,3,4,3,3,2,3,Non,13.0,1596,0.27,3467.99,3.0,2,4,0,0,0,0,Cadre Commercial | N4,0.026,0.027
44,M,2042,Marié(e),Consulting,Consultant,4,17,3,2,1,3,23,3,Transformation Digitale,Aucun,1,2,2,3,2,2,3,4,3,Non,12.0,219,0.667,1020.99,2.75,2,4,0,0,0,0,Consultant | N2,0.75,0.333
37,M,2073,Divorcé(e),Ressources Humaines,Ressources Humaines,4,7,3,2,0,3,6,4,Ressources Humaines,Occasionnel,0,2,3,3,1,1,4,3,4,Oui,22.0,374,0.667,2072.98,2.75,1,4,1,1,0,0,Ressources Humaines | N1,0.75,0.0
32,M,2956,Célibataire,Consulting,Assistant de Direction,1,1,1,0,0,2,1,1,Infra & Cloud,Occasionnel,0,0,4,3,1,1,4,3,3,Non,13.0,340,0.0,2955.97,3.0,1,4,0,0,0,0,Assistant de Direction | N1,1.0,0.0
20,F,2926,Célibataire,Consulting,Consultant,1,1,1,0,0,5,6,3,Infra & Cloud,Frequent,1,0,4,2,1,4,2,3,3,Oui,18.0,446,0.0,2925.97,3.25,2,4,1,1,1,0,Consultant | N1,2.5,1.0
