age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,montant_augmentation_precedente,ratio_anciennete_carriere,inertie_poste,stagnation_promotion,revenu_par_annee_experience,revenu_par_niveau,satisfaction_globale,satisfaction_min,delta_performance,hs_et_salaire_bas,jeune_faible_anciennete,trajet_long,job_hopper
43,F,2645,Divorcé(e),Consulting,Assistant de Direction,1,6,5,3,2,3,2,2,Transformation Digitale,Occasionnel,1,4,4,4,1,3,4,2,3,Non,12.0,283,0.833,0.6,0.2,377.86,2644.97,3.25,2,-1,0,0,0,0
50,M,2683,Marié(e),Commercial,Représentant Commercial,1,3,3,2,0,2,3,2,Marketing,Occasionnel,0,2,1,2,1,3,3,3,3,Oui,14.000000000000002,329,1.0,0.667,0.0,670.75,2682.97,2.5,1,1,1,0,0,0
35,F,2014,Marié(e),Commercial,Représentant Commercial,1,2,2,2,0,3,2,3,Marketing,Occasionnel,2,2,4,3,1,4,1,3,3,Non,13.0,232,1.0,1.0,1.0,671.33,2013.98,3.0,1,0,0,0,0,0
36,F,3419,Marié(e),Consulting,Assistant de Direction,9,6,1,1,1,3,5,4,Infra & Cloud,Occasionnel,0,0,2,2,1,1,4,4,3,Oui,14.000000000000002,420,0.167,1.0,0.0,488.43,3418.97,2.75,1,1,1,0,0,1
33,F,5376,Marié(e),Commercial,Cadre Commercial,2,10,5,3,2,3,1,3,Infra & Cloud,Frequent,1,3,3,4,2,1,1,3,3,Non,19.0,858,0.5,0.6,0.2,488.73,2687.99,2.0,1,-1,0,0,0,0
35,M,1951,Divorcé(e),Consulting,Consultant,1,1,1,0,1,3,4,2,Autre,Occasionnel,0,0,3,3,1,4,3,3,3,Non,12.0,209,1.0,0.0,0.0,975.5,1950.98,3.25,3,0,0,0,0,0
27,F,2341,Divorcé(e),Consulting,Consultant,1,1,1,0,1,6,2,4,Infra & Cloud,Occasionnel,0,0,4,3,1,1,4,3,3,Non,13.0,269,1.0,0.0,0.0,1170.5,2340.98,3.0,1,0,0,1,0,0
26,M,2293,Célibataire,Consulting,Consultant,1,1,1,0,0,2,25,3,Infra & Cloud,Occasionnel,0,1,1,1,1,3,3,2,3,Non,12.0,246,1.0,0.0,0.0,1146.5,2292.98,2.25,1,2,0,1,1,0
27,M,8726,Célibataire,Commercial,Cadre Commercial,1,9,9,8,0,0,8,3,Infra & Cloud,Frequent,1,7,4,3,3,3,4,3,3,Non,15.0,1138,1.0,0.889,0.111,872.6,2908.66,3.5,3,0,0,0,0,0
30,F,4011,Célibataire,Consulting,Consultant,1,12,12,8,0,2,1,2,Transformation Digitale,Frequent,3,7,3,3,2,4,4,3,4,Non,23.0,750,1.0,0.667,0.25,308.54,2005.49,3.5,3,1,0,0,0,0
41,F,19545,Marié(e),Consulting,Directeur Technique,1,23,22,15,0,0,12,3,Entrepreunariat,Occasionnel,15,8,2,3,5,3,4,3,3,Non,12.0,2094,0.957,0.682,0.682,814.38,3908.99,3.0,2,0,0,0,0,0
34,M,4568,Célibataire,Commercial,Cadre Commercial,0,10,9,5,0,2,23,4,Marketing,Aucun,8,7,2,3,2,3,3,3,4,Non,20.0,761,0.9,0.556,0.889,415.27,2283.99,2.75,2,1,0,0,1,0
37,M,3022,Marié(e),Consulting,Assistant de Direction,4,8,1,0,0,1,19,2,Infra & Cloud,Occasionnel,0,0,2,3,1,2,1,3,4,Non,21.0,524,0.125,0.0,0.0,335.78,3021.97,2.0,1,1,0,0,1,0
46,M,5772,Célibataire,Commercial,Cadre Commercial,4,14,9,6,0,4,5,4,Marketing,Frequent,0,8,1,3,2,4,3,3,4,Oui,21.0,1002,0.643,0.667,0.0,384.8,2885.99,2.75,1,1,0,0,0,0
35,M,2269,Marié(e),Consulting,Consultant,1,1,1,0,0,2,8,1,Infra & Cloud,Occasionnel,0,1,4,4,1,4,4,3,3,Non,19.0,362,1.0,0.0,0.0,1134.5,2268.98,3.75,3,-1,0,0,0,0
48,M,5381,Célibataire,Consulting,Consultant,9,23,1,0,0,2,1,2,Infra & Cloud,Occasionnel,0,0,1,2,3,3,4,3,3,Oui,13.0,619,0.043,0.0,0.0,224.21,1793.66,2.75,1,1,0,0,0,1
28,M,3441,Célibataire,Consulting,Consultant,1,2,2,2,0,3,5,4,Entrepreunariat,Occasionnel,2,2,3,3,1,3,3,2,3,Oui,13.0,396,1.0,1.0,1.0,1147.0,3440.97,2.75,2,0,1,1,0,0
44,F,5454,Divorcé(e),Commercial,Cadre Commercial,5,9,4,3,1,2,1,5,Marketing,Occasionnel,1,3,2,3,2,1,3,2,4,Oui,21.0,947,0.444,0.75,0.25,545.4,2726.99,2.0,1,1,0,0,0,1
35,M,9884,Marié(e),Consulting,Manager,2,10,4,0,1,3,11,2,Transformation Digitale,Aucun,2,3,3,2,3,1,3,3,3,Oui,13.0,1137,0.4,0.0,0.5,898.55,3294.66,2.5,1,1,0,0,0,0
26,F,4157,Marié(e),Commercial,Cadre Commercial,7,5,2,2,1,2,23,3,Marketing,Occasionnel,0,0,3,2,2,4,3,2,3,Oui,19.0,664,0.4,1.0,0.0,692.83,2078.49,3.0,2,1,1,1,1,1
33,F,13458,Célibataire,Consulting,Directeur Technique,1,15,15,14,0,1,1,2,Infra & Cloud,Frequent,8,12,1,3,3,4,3,3,3,Oui,12.0,1442,1.0,0.933,0.533,841.12,4485.99,2.75,1,0,0,0,0,0
35,M,9069,Marié(e),Commercial,Cadre Commercial,1,9,9,8,1,3,18,5,Infra & Cloud,Frequent,1,8,2,3,3,1,4,2,4,Non,22.0,1635,1.0,0.889,0.111,906.9,3022.99,2.25,1,1,0,0,1,0
35,F,4014,Marié(e),Consulting,Consultant,3,4,2,2,1,3,23,4,Transformation Digitale,Occasionnel,2,2,3,3,1,1,3,3,3,Oui,15.0,524,0.5,1.0,1.0,802.8,4013.96,2.5,1,0,1,0,1,0
31,M,5915,Divorcé(e),Consulting,Consultant,3,10,7,7,1,3,7,4,Infra & Cloud,Occasionnel,1,7,4,3,2,4,4,2,4,Non,22.0,1067,0.7,1.0,0.143,537.73,2957.49,3.5,2,1,0,0,0,0
37,M,5993,Divorcé(e),Consulting,Tech Lead,1,7,7,5,1,2,1,4,Infra & Cloud,Occasionnel,0,7,1,2,2,3,3,4,3,Non,18.0,914,1.0,0.714,0.0,749.12,2996.49,2.75,1,1,0,0,0,0
32,M,6162,Marié(e),Consulting,Tech Lead,1,9,9,8,1,3,1,3,Transformation Digitale,Occasionnel,7,8,1,3,2,4,2,3,4,Oui,22.0,1111,1.0,0.889,0.778,616.2,3080.98,2.5,1,1,0,0,0,0
38,F,2406,Célibataire,Consulting,Consultant,1,10,10,3,0,2,29,5,Infra & Cloud,Frequent,9,9,4,3,2,4,4,3,3,Non,11.0,238,1.0,0.3,0.9,218.73,1202.99,3.75,3,0,0,0,1,0
50,F,18740,Divorcé(e),Consulting,Directeur Technique,5,29,27,3,1,2,7,2,Transformation Digitale,Occasionnel,13,8,2,2,5,3,4,2,3,Oui,12.0,2008,0.931,0.111,0.481,624.67,3747.99,2.75,2,1,0,0,0,1
59,F,7637,Célibataire,Commercial,Cadre Commercial,7,28,21,16,0,3,25,3,Infra & Cloud,Occasionnel,7,9,1,3,3,1,4,2,3,Non,11.0,757,0.75,0.762,0.333,263.34,2545.66,2.0,1,0,0,0,1,1
36,F,10096,Divorcé(e),Consulting,Manager,1,17,17,14,3,2,8,3,Entrepreunariat,Occasionnel,12,8,3,3,3,3,2,3,3,Non,13.0,1161,1.0,0.824,0.706,560.89,3365.32,2.75,2,0,0,0,0,0
55,F,14756,Divorcé(e),Consulting,Senior Manager,2,21,5,0,3,2,8,3,Transformation Digitale,Occasionnel,0,2,4,3,4,3,3,3,3,Oui,14.000000000000002,1812,0.238,0.0,0.0,670.73,3688.99,3.25,3,0,0,0,0,0
36,M,6499,Célibataire,Consulting,Tech Lead,1,6,6,5,0,3,11,3,Infra & Cloud,Frequent,0,3,2,2,2,2,3,3,3,Non,13.0,748,1.0,0.833,0.0,928.43,3249.48,2.5,2,1,0,0,0,0
45,M,9724,Divorcé(e),Consulting,Assistant de Direction,2,25,1,0,1,2,7,3,Infra & Cloud,Occasionnel,0,0,2,3,3,1,3,3,3,Non,17.0,1413,0.04,0.0,0.0,374.0,3241.32,2.25,1,0,0,0,0,0
35,M,2194,Marié(e),Consulting,Assistant de Direction,4,5,3,2,1,2,1,3,Transformation Digitale,Frequent,1,2,2,3,1,1,4,2,3,Non,13.0,252,0.6,0.667,0.333,365.67,2193.98,2.25,1,0,0,0,0,0
36,M,3388,Marié(e),Consulting,Assistant de Direction,0,2,1,0,1,0,9,3,Transformation Digitale,Occasionnel,0,0,4,2,1,3,1,2,3,Oui,17.0,492,0.5,0.0,0.0,1129.33,3387.97,2.5,1,1,1,0,0,0
59,F,5473,Célibataire,Commercial,Cadre Commercial,7,20,4,3,0,2,1,1,Infra & Cloud,Frequent,1,3,1,2,2,3,4,2,3,Non,11.0,542,0.2,0.75,0.25,260.62,2736.49,2.5,1,1,0,0,0,1
29,M,2703,Marié(e),Consulting,Assistant de Direction,0,6,5,4,1,3,2,3,Infra & Cloud,Occasionnel,0,4,3,3,1,2,4,3,4,Non,23.0,505,0.833,0.8,0.0,386.14,2702.97,3.0,2,1,0,0,0,0
31,M,2501,Célibataire,Consulting,Assistant de Direction,1,1,1,1,0,4,1,4,Transformation Digitale,Occasionnel,1,0,3,3,1,2,2,3,3,Non,17.0,363,1.0,1.0,1.0,1250.5,2500.97,2.5,2,0,0,0,0,0
32,M,6220,Marié(e),Consulting,Assistant de Direction,1,10,10,4,2,3,1,3,Infra & Cloud,Occasionnel,0,9,2,3,2,2,2,3,3,Non,17.0,904,1.0,0.4,0.0,565.45,3109.98,2.25,2,0,0,0,0,0
36,F,3038,Marié(e),Consulting,Consultant,3,5,1,0,0,3,6,3,Infra & Cloud,Occasionnel,0,0,2,4,1,4,2,3,3,Non,12.0,326,0.2,0.0,0.0,506.33,3037.97,2.75,2,-1,0,0,0,0
31,F,4424,Célibataire,Consulting,Tech Lead,1,11,11,7,0,2,8,4,Infra & Cloud,Occasionnel,1,8,3,3,2,4,4,3,4,Non,23.0,827,1.0,0.636,0.091,368.67,2211.99,3.5,3,1,0,0,0,0
35,M,4312,Célibataire,Commercial,Cadre Commercial,0,16,15,13,0,2,1,4,Marketing,Occasionnel,2,8,3,2,2,1,2,3,3,Non,14.000000000000002,530,0.937,0.867,0.133,253.65,2155.99,2.25,1,1,0,0,0,0
45,M,13245,Marié(e),Consulting,Directeur Technique,4,17,0,0,0,3,6,4,Autre,Occasionnel,0,0,4,3,3,1,2,4,3,Oui,14.000000000000002,1627,0.0,0.0,0.0,735.83,4414.99,2.75,1,0,0,0,0,0
37,M,13664,Célibataire,Consulting,Directeur Technique,4,16,5,2,0,3,7,4,Transformation Digitale,Occasionnel,0,2,1,3,3,3,1,4,3,Non,13.0,1572,0.312,0.4,0.0,803.76,4554.65,2.25,1,0,0,0,0,0
46,M,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,8,16,4,2,1,2,5,2,Transformation Digitale,Occasionnel,0,2,2,3,2,2,4,3,4,Oui,22.0,905,0.25,0.5,0.0,295.35,2510.49,2.75,2,1,0,0,0,1
30,M,5126,Marié(e),Consulting,Consultant,1,10,10,8,2,1,1,1,Infra & Cloud,Occasionnel,3,0,4,2,2,4,3,2,3,Oui,12.0,549,1.0,0.8,0.3,466.0,2562.99,3.25,2,1,0,0,0,0
35,M,2859,Célibataire,Consulting,Assistant de Direction,1,6,6,4,0,3,1,3,Transformation Digitale,Occasionnel,0,4,2,2,1,3,1,3,3,Non,18.0,436,1.0,0.667,0.0,408.43,2858.97,2.25,1,1,0,0,0,0
55,M,10239,Marié(e),Commercial,Cadre Commercial,3,24,1,0,1,4,1,2,Infra & Cloud,Occasionnel,1,0,1,3,3,4,4,3,3,Non,14.000000000000002,1257,0.042,0.0,1.0,409.56,3412.99,3.0,1,0,0,0,0,0
38,F,5329,Divorcé(e),Consulting,Assistant de Direction,7,17,13,11,3,3,6,3,Transformation Digitale,Aucun,1,9,2,1,2,4,4,3,3,Oui,12.0,571,0.765,0.846,0.077,296.06,2664.49,3.25,2,2,0,0,0,1
34,M,4325,Marié(e),Consulting,Tech Lead,1,5,5,2,0,2,1,2,Transformation Digitale,Occasionnel,1,3,1,3,2,2,3,3,3,Non,15.0,564,1.0,0.4,0.2,720.83,2162.49,2.25,1,0,0,0,0,0
56,M,7260,Célibataire,Consulting,Tech Lead,4,37,6,4,0,3,7,3,Infra & Cloud,Occasionnel,0,2,4,1,3,4,1,2,3,Non,11.0,719,0.162,0.667,0.0,191.05,2419.99,2.75,1,2,0,0,0,0
23,M,2322,Divorcé(e),Commercial,Représentant Commercial,3,3,0,0,1,3,2,1,Entrepreunariat,Occasionnel,0,0,3,3,1,1,3,3,3,Non,13.0,267,0.0,0.0,0.0,580.5,2321.98,2.5,1,0,0,1,0,0
51,M,2075,Marié(e),Consulting,Consultant,3,10,4,2,2,4,9,4,Infra & Cloud,Occasionnel,0,3,4,3,1,4,2,3,4,Non,23.0,388,0.4,0.5,0.0,188.64,2074.98,3.25,2,1,0,0,0,0
30,M,4152,Marié(e),Consulting,Manager,1,11,11,10,3,3,2,3,Infra & Cloud,Occasionnel,10,8,3,2,2,4,1,3,3,Non,19.0,663,1.0,0.909,0.909,346.0,2075.99,2.75,1,1,0,0,0,0
46,M,9619,Célibataire,Commercial,Cadre Commercial,1,9,9,8,0,3,9,2,Transformation Digitale,Occasionnel,4,7,3,2,3,4,4,3,3,Non,16.0,1327,1.0,0.889,0.444,961.9,3206.32,3.5,3,1,0,0,0,0
40,M,13503,Marié(e),Consulting,Manager,1,22,22,3,1,3,1,4,Infra & Cloud,Frequent,11,11,3,2,4,2,4,2,4,Non,22.0,2435,1.0,0.136,0.5,587.09,3375.74,2.75,2,2,0,0,0,0
51,M,5441,Célibataire,Commercial,Cadre Commercial,0,11,10,7,0,2,21,4,Marketing,Occasionnel,1,0,3,3,2,4,4,1,4,Oui,22.0,981,0.909,0.7,0.1,453.42,2720.49,3.0,1,1,0,0,1,0
30,F,5209,Divorcé(e),Commercial,Cadre Commercial,1,11,11,8,3,4,4,2,Transformation Digitale,Occasionnel,2,7,3,2,2,2,2,2,3,Oui,12.0,558,1.0,0.727,0.182,434.08,2604.49,2.25,2,1,0,0,0,0
46,M,10673,Marié(e),Consulting,Manager,2,21,10,9,1,5,1,3,Transformation Digitale,Frequent,9,5,3,2,3,1,3,2,3,Oui,13.0,1228,0.476,0.9,0.9,485.14,3557.65,2.25,1,1,0,0,0,0
32,M,5010,Célibataire,Commercial,Cadre Commercial,1,12,11,8,0,0,6,4,Transformation Digitale,Occasionnel,5,7,2,3,2,3,1,3,3,Non,16.0,691,0.917,0.727,0.455,385.38,2504.99,2.25,1,0,0,0,0,0
54,F,13549,Marié(e),Consulting,Directeur Technique,9,16,4,3,1,5,2,4,Entrepreunariat,Occasionnel,0,3,1,3,3,3,1,1,3,Non,12.0,1452,0.25,0.75,0.0,797.0,4516.32,1.5,1,0,0,0,0,1
24,F,4999,Marié(e),Commercial,Cadre Commercial,0,4,3,2,1,2,3,2,Autre,Occasionnel,0,2,1,3,2,3,1,2,4,Non,21.0,868,0.75,0.667,0.0,999.8,2499.49,1.75,1,1,0,0,0,0
28,M,4221,Marié(e),Commercial,Cadre Commercial,1,5,5,4,0,3,4,3,Transformation Digitale,Aucun,0,4,2,3,2,3,2,4,3,Non,15.0,551,1.0,0.8,0.0,703.5,2110.49,2.75,2,0,0,0,0,0
58,M,13872,Célibataire,Commercial,Cadre Commercial,0,38,37,10,0,1,10,4,Transformation Digitale,Occasionnel,1,8,4,3,4,3,3,2,3,Non,13.0,1596,0.974,0.27,0.027,355.69,3467.99,3.0,2,0,0,0,0,0
44,M,2042,Marié(e),Consulting,Consultant,4,17,3,2,1,3,23,3,Transformation Digitale,Aucun,1,2,2,3,2,2,3,4,3,Non,12.0,219,0.176,0.667,0.333,113.44,1020.99,2.75,2,0,0,0,1,0
37,M,2073,Divorcé(e),Ressources Humaines,Ressources Humaines,4,7,3,2,0,3,6,4,Ressources Humaines,Occasionnel,0,2,3,3,1,1,4,3,4,Oui,22.0,374,0.429,0.667,0.0,259.12,2072.98,2.75,1,1,1,0,0,0
32,M,2956,Célibataire,Consulting,Assistant de Direction,1,1,1,0,0,2,1,1,Infra & Cloud,Occasionnel,0,0,4,3,1,1,4,3,3,Non,13.0,340,1.0,0.0,0.0,1478.0,2955.97,3.0,1,0,0,0,0,0
20,F,2926,Célibataire,Consulting,Consultant,1,1,1,0,0,5,6,3,Infra & Cloud,Frequent,1,0,4,2,1,4,2,3,3,Oui,18.0,446,1.0,0.0,1.0,1463.0,2925.97,3.25,2,1,1,1,0,0
34,F,4809,Célibataire,Consulting,Assistant de Direction,1,16,16,13,0,3,6,4,Autre,Occasionnel,2,10,1,3,2,3,3,3,3,Non,14.000000000000002,591,1.0,0.812,0.125,282.88,2404.49,2.5,1,0,0,0,0,0
37,M,5163,Divorcé(e),Consulting,Manager,5,17,1,0,1,2,2,2,Infra & Cloud,Aucun,0,0,3,2,2,4,4,4,3,Non,14.000000000000002,634,0.059,0.0,0.0,286.83,2581.49,3.75,3,1,0,0,0,1
59,F,18844,Marié(e),Ressources Humaines,Senior Manager,9,30,3,2,1,3,2,4,Ressources Humaines,Aucun,2,2,3,2,5,4,4,3,4,Non,21.0,3270,0.1,0.667,0.667,607.87,3768.79,3.5,3,2,0,0,0,1
50,F,18172,Marié(e),Consulting,Directeur Technique,3,28,8,3,0,1,1,3,Infra & Cloud,Frequent,0,7,1,3,5,2,1,2,3,Oui,19.0,2901,0.286,0.375,0.0,626.62,3634.39,1.5,1,0,0,0,0,0
25,M,5744,Célibataire,Commercial,Cadre Commercial,1,6,6,4,0,1,5,3,Marketing,Occasionnel,0,3,3,2,2,3,4,3,3,Oui,11.0,569,1.0,0.667,0.0,820.57,2871.99,3.25,3,1,0,0,0,0
